活用形,アクセントラベル,後続アクセント
未然形 だろ　う,LH,(L)
連用形ナイ接続 で ない,*,(L H)
連用形タ接続 でし た,* L,L
終止形 だ,*,
連体形 な こと,L,(HL)
体言接続 な こと, L, (HL)
仮定形 なら ば,L L L,(L)
