活用形,アクセントラベル,後続アクセント
未然形 たかろ う,* * H,(L)
連用形 たく ない,* L,(LH)
連用形 たかっ た,H L L,(L)
終止形 たい,L L,
連体形 たい こと,L L,(HL)
仮定形 たけれ ば,H L L,(L)
ガル接続 た がる,*,(L)
