活用形,アクセントラベル,後続アクセント
未然形 られ ない,* H,(LL)
連用形 られ ます,* *,(* H)
終止形 られる,* * H,
連体形 られる こと,* * *,(HL)
仮定形 られれ ば,* H L,(L)
命令形 られろ,* H L,
未然ウ接続 られよ, * * H, (L)
体言接続特殊　られん, * * H
