活用形,アクセントラベル,後続アクセント
未然形 なかろ う,H H H,(L)
未然形 なく ない,H L,(LL)
連用形 なく て,H L,(L)
連用テ接続 なく て,H L,(L)
連用形 なかっ た,H L L,(L)
終止形 ない,L L,
連体形 ない こと,L H,(HL)
仮定形 なけれ ば,H L L,(L)
ガル接続 な, L, 
