活用形,アクセントラベル,後続アクセント
未然形 あら ない,L H,(L) L
連用形 あり ます,L L,L H
連用タ接続 あっ た,L L,(H)
終止形 ある,L H,
連体形 ある こと,L L,(HL)
仮定形 あれ ば,L H,(L)
命令形 あれ,L H,
体言接続特殊 あん, L H,
