活用形,アクセントラベル,後続アクセント
未然形 せ よう,*,(H L L H?)
未然形 せ ない,H,(L L)
連用形 せ た,L,(L)
終止形 せる,* H,
連体形 せる こと,* *,(HL)
仮定形 せれ ば,H L,(L)
命令形 せろ,H L,
