活用形,アクセントラベル,後続アクセント
未然形 させ よう,* *,(HL)
未然形 させ ない,* H,(LL)
連用形 させ た,H L,(L)
終止形 させる,* * H,
連体形 させる こと,* * *,(HL)
仮定形 させれ ば,* H L,(L)
命令形 させろ,* H L,
