活用形,アクセントラベル,後続アクセント
未然形 れ ない,H,(LL)
連用形 れ ます,*,(* H)
終止形 れる,* H,
連体形 れる こと,* *,(HL)
仮定形 れれ ば,H L,(L)
命令形 れろ,H L,(L)
未然ウ接続 れよ, * H, (L)
体言接続特殊　れん, * H
