活用形,アクセントラベル,後続アクセント
連用形 らしかっ た,* * L L,(L)
連用形 らしく,* * L,(L)
終止形 らしい,* L L,
連体形 らしい こと,* L L,(HL)
仮定形 らしけれ ば,* * L L,(L)
