活用形,アクセントラベル,後続アクセント
未然形 たがら ない,* * H,(L) L
連用形 たがり ます,* * *,"(H L, L H)"
連用形 たがっ た,H L L,(L)
終止形 たがる,* * H,
連体形 たがる こと,* * *,(HL)
仮定形 たがれ ば,* H L,(L)
命令形 たがれ,* H L,
