活用形,アクセントラベル,後続アクセント
未然形 ましょ う,* H,(L)
未然形 ませ ん,* *,(H)
連用形 まし た,H L,(L)
終止形 ます,* H,
連体形 ます こと,* *,(HL)
仮定形 ますれ ば,* H L,(L)
命令形 ませ,H L,
命令形 まし,H L,
